,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
273,JUJUY,LEDESMA,94252,27854,96.8,66.5,30.4,55.9,80.1,6.0,91.3,49.5,-23.78553,-64.82876
274,JUJUY,PALPALÁ,65541,19284,98.1,83.1,35.6,79.9,73.5,9.1,94.0,41.9,-24.19492,-65.12645
275,JUJUY,RINCONADA,1802,703,55.0,18.6,1.6,23.5,86.8,5.1,92.6,36.3,-22.62162,-66.54157
276,JUJUY,SAN ANTONIO,6729,2110,76.6,22.3,0.4,71.6,74.6,4.4,91.6,40.9,-24.34673,-65.44685
277,JUJUY,SAN PEDRO,88241,26794,96.0,73.2,31.9,54.1,78.9,5.7,93.5,45.0,-24.29855,-64.81101
278,JUJUY,SANTA BÁRBARA,20499,6066,87.8,52.3,0.9,28.2,83.1,3.4,91.1,54.5,-24.00755,-64.40231
279,JUJUY,SANTA CATALINA,2646,876,71.1,5.9,0.3,12.6,78.0,5.5,84.1,57.3,-22.13793,-66.22766
280,JUJUY,SUSQUES,4098,1141,77.4,4.4,0.4,39.6,82.3,5.5,91.3,35.9,-23.52043,-66.6618
281,JUJUY,TILCARA,14721,4960,90.5,34.6,10.1,34.0,77.0,7.9,93.5,57.4,-23.56054,-65.31975
282,JUJUY,TUMBAYA,5381,1733,73.5,49.5,2.5,35.4,72.0,9.7,94.1,48.5,-23.74347,-65.6961
283,JUJUY,VALLE GRANDE,2509,931,82.9,9.2,1.6,32.5,84.8,2.9,91.3,40.8,-23.46706,-65.01192
284,JUJUY,YAVÍ,25868,7936,91.8,60.3,7.0,42.5,69.8,16.1,92.1,61.3,-22.29067,-65.56696
285,LA PAMPA,ATREUCÓ,11138,4526,88.6,46.4,88.6,84.9,67.1,16.7,96.8,32.4,-37.0325,-63.77889
286,LA PAMPA,CALEU CALEU,2611,959,87.4,2.1,83.1,67.2,75.0,11.9,96.5,33.6,-38.67558,-63.89682
287,LA PAMPA,CAPITAL,119632,48011,91.5,89.8,93.4,90.5,64.7,22.4,96.3,28.4,-36.49806,-64.19813
288,LA PAMPA,CATRILÓ,8235,3084,85.7,11.6,83.0,82.0,67.7,16.3,95.7,33.8,-36.58167,-63.66487
289,LA PAMPA,CHALILEO,2885,1114,86.3,3.7,80.2,62.7,71.0,13.8,95.3,43.6,-36.39541,-66.57276
290,LA PAMPA,CHAPALEUFÚ,12334,4753,75.1,56.1,89.2,86.7,69.5,15.2,95.0,35.5,-35.22724,-63.66091
